image_name,image_size_kb,width,height,algorithm,message_length,compression_ratio,encode_time_ms,decode_time_ms,psnr,success
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),10,0.425,14.385223388671875,0.3368854522705078,82.90201615587574,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),10,0.425,2.2072792053222656,0.32806396484375,83.12478010298726,True
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),50,0.63,2.165079116821289,0.35309791564941406,77.16170347859854,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),50,0.63,2.1538734436035156,0.5240440368652344,77.55541039759129,True
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),100,0.705,2.154111862182617,0.3600120544433594,74.28368617929628,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),100,0.705,2.318143844604492,0.5488395690917969,73.96717269369087,True
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),500,0.7545,3.1778812408447266,0.7789134979248047,67.06436247302574,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),500,0.7545,4.503011703491211,1.7859935760498047,67.17911009436155,True
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),1000,0.757125,4.927158355712891,1.2469291687011719,64.09959839692092,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),1000,0.757125,6.941795349121094,3.2122135162353516,64.02865685188405,True
img_1.png,117.51171875,200,200,LSB (Huffman Compressed),5000,0.7617,16.3881778717041,5.605936050415039,57.05079429280757,True
img_1.png,117.51171875,200,200,Spread Spectrum (Huffman Compressed),5000,0.7617,25.39515495300293,14.764785766601562,57.06238113798089,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),10,0.4,0.5800724029541016,0.11277198791503906,78.27803617688618,True
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),10,0.4,0.5450248718261719,0.13399124145507812,78.27803617688618,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),50,0.6425,0.6940364837646484,0.1552104949951172,71.86397894631615,True
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),50,0.6425,0.7491111755371094,0.2491474151611328,71.47186815333478,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),100,0.70375,0.8790493011474609,0.26702880859375,67.86410932530391,True
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),100,0.70375,1.013040542602539,0.39386749267578125,68.2037959960941,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),500,0.751,1.9898414611816406,0.5781650543212891,61.00430659240699,True
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),500,0.751,3.002166748046875,1.6179084777832031,61.11512375811983,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),1000,0.757,3.326892852783203,1.065969467163086,58.214113534879615,True
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),1000,0.757,5.668163299560547,3.097057342529297,58.03487839605087,True
img_0.png,29.4609375,100,100,LSB (Huffman Compressed),5000,,,,,False
img_0.png,29.4609375,100,100,Spread Spectrum (Huffman Compressed),5000,,,,,False
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),10,0.4,7.805824279785156,1.0218620300292969,90.96381589571459,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),10,0.4,7.8582763671875,0.9491443634033203,90.31923600344541,True
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),50,0.6425,7.65228271484375,0.9441375732421875,83.24059882848542,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),50,0.6425,8.356094360351562,1.0519027709960938,83.48193562565258,True
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),100,0.70375,8.057832717895508,1.0411739349365234,80.4100325819646,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),100,0.70375,8.367776870727539,1.2631416320800781,80.4100325819646,True
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),500,0.751,8.955001831054688,1.3980865478515625,73.17651665575347,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),500,0.751,9.991884231567383,2.3920536041259766,73.03150142514939,True
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),1000,0.757,10.490179061889648,1.8961429595947266,70.09879390601091,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),1000,0.757,12.236833572387695,3.9458274841308594,70.10449144020824,True
img_2.png,469.5634765625,400,400,LSB (Huffman Compressed),5000,0.7617,24.51801300048828,9.062051773071289,63.14741084848088,True
img_2.png,469.5634765625,400,400,Spread Spectrum (Huffman Compressed),5000,0.7617,44.332027435302734,15.549898147583008,63.12249494386111,True
